cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
261,1000.1,256.8,91.7806,91.7867,91.7046,0.0760,0.0821,0.0061
262,999.8,255.4,91.7866,91.7927,91.7101,0.0764,0.0826,0.0061
263,1001.0,268.5,91.7925,91.7986,91.7159,0.0766,0.0827,0.0061
264,999.1,253.9,91.7984,91.8046,91.7216,0.0768,0.0829,0.0061
265,1000.3,259.4,91.8044,91.8105,91.7273,0.0770,0.0832,0.0061
266,999.6,262.5,91.8103,91.8164,91.7333,0.0770,0.0832,0.0061
267,1000.8,255.3,91.8163,91.8224,91.7387,0.0775,0.0836,0.0061
268,1000.8,268.8,91.8222,91.8283,91.7442,0.0780,0.0841,0.0061
269,1000.2,277.0,91.8281,91.8342,91.7498,0.0783,0.0844,0.0061
270,999.3,260.4,91.8340,91.8401,91.7558,0.0783,0.0844,0.0061
271,999.1,274.4,91.8400,91.8461,91.7615,0.0785,0.0846,0.0061
272,999.8,267.4,91.8459,91.8520,91.7672,0.0787,0.0848,0.0061
273,1000.1,346.6,91.8518,91.8579,91.7728,0.0790,0.0851,0.0061
274,1001.5,330.2,91.8577,91.8638,91.7784,0.0794,0.0855,0.0061
275,1000.9,329.8,91.8636,91.8697,91.7842,0.0794,0.0855,0.0061
276,998.4,316.7,91.8695,91.8756,91.7899,0.0797,0.0858,0.0061
277,1000.2,276.5,91.8755,91.8815,91.7954,0.0800,0.0861,0.0061
278,999.1,274.8,91.8814,91.8875,91.8010,0.0803,0.0864,0.0061
279,1000.0,257.2,91.8873,91.8934,91.8071,0.0801,0.0862,0.0061
280,1000.0,270.9,91.8932,91.8992,91.8128,0.0804,0.0864,0.0061
281,1000.1,272.0,91.8991,91.9051,91.8186,0.0805,0.0866,0.0061
282,999.5,257.7,91.9050,91.9110,91.8242,0.0807,0.0868,0.0061
283,1008.5,278.9,91.9108,91.9169,91.8304,0.0805,0.0866,0.0061
284,993.3,259.9,91.9167,91.9228,91.8361,0.0806,0.0867,0.0061
285,999.4,257.6,91.9226,91.9287,91.8420,0.0806,0.0867,0.0061
286,999.9,275.9,91.9285,91.9346,91.8481,0.0804,0.0865,0.0061
287,999.5,257.6,91.9344,91.9405,91.8548,0.0796,0.0857,0.0061
288,1007.1,286.3,91.9403,91.9463,91.8610,0.0793,0.0854,0.0061
289,994.1,273.9,91.9461,91.9522,91.8671,0.0790,0.0851,0.0061
290,999.2,252.9,91.9520,91.9581,91.8733,0.0788,0.0848,0.0061
291,999.9,263.4,91.9579,91.9639,91.8798,0.0780,0.0841,0.0061
292,999.6,264.5,91.9637,91.9698,91.8859,0.0778,0.0839,0.0061
293,1000.7,309.6,91.9696,91.9757,91.8921,0.0776,0.0836,0.0061
294,1003.1,313.4,91.9755,91.9815,91.8982,0.0772,0.0833,0.0061
295,997.4,316.8,91.9813,91.9874,91.9048,0.0766,0.0826,0.0061
296,999.1,320.1,91.9872,91.9932,91.9105,0.0766,0.0827,0.0061
297,999.9,307.4,91.9930,91.9991,91.9161,0.0769,0.0829,0.0061
298,999.9,320.2,91.9989,92.0049,91.9217,0.0772,0.0833,0.0061
299,999.8,329.6,92.0047,92.0108,91.9275,0.0772,0.0833,0.0061
