cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
250,1000.6,343.4,91.6251,91.6312,91.5479,0.0772,0.0833,0.0061
251,999.1,373.8,91.6311,91.6372,91.5547,0.0764,0.0825,0.0061
252,1002.0,688.0,91.6370,91.6432,91.5610,0.0761,0.0822,0.0061
253,999.8,377.0,91.6430,91.6491,91.5672,0.0759,0.0820,0.0061
254,1000.1,369.2,91.6490,91.6551,91.5733,0.0757,0.0819,0.0061
255,999.9,368.7,91.6549,91.6611,91.5799,0.0750,0.0812,0.0061
256,1000.8,367.7,91.6609,91.6670,91.5862,0.0747,0.0808,0.0061
257,999.2,378.7,91.6669,91.6730,91.5928,0.0740,0.0802,0.0061
258,999.9,393.9,91.6728,91.6789,91.5997,0.0731,0.0793,0.0061
259,1000.6,368.1,91.6788,91.6849,91.6069,0.0719,0.0780,0.0061
260,1001.1,352.4,91.6847,91.6909,91.6136,0.0711,0.0773,0.0061
261,1001.2,371.3,91.6907,91.6968,91.6201,0.0706,0.0767,0.0061
262,998.6,364.1,91.6966,91.7027,91.6266,0.0701,0.0762,0.0061
263,1000.7,385.1,91.7026,91.7087,91.6334,0.0691,0.0753,0.0061
264,999.9,420.1,91.7085,91.7146,91.6398,0.0687,0.0748,0.0061
265,1007.1,363.0,91.7145,91.7206,91.6459,0.0685,0.0747,0.0061
266,992.7,371.5,91.7204,91.7265,91.6518,0.0686,0.0747,0.0061
267,1012.5,361.8,91.7263,91.7324,91.6580,0.0684,0.0745,0.0061
268,985.3,699.5,91.7323,91.7384,91.6634,0.0689,0.0750,0.0061
269,999.5,709.8,91.7382,91.7443,91.6634,0.0748,0.0809,0.0061
270,999.6,394.4,91.7441,91.7502,91.6687,0.0754,0.0815,0.0061
271,1000.4,406.5,91.7500,91.7561,91.6739,0.0761,0.0822,0.0061
272,1001.1,717.1,91.7560,91.7621,91.6854,0.0705,0.0766,0.0061
273,999.4,386.5,91.7619,91.7680,91.6910,0.0709,0.0770,0.0061
274,999.7,432.4,91.7678,91.7739,91.6965,0.0713,0.0774,0.0061
275,1001.1,699.4,91.7737,91.7798,91.7024,0.0713,0.0774,0.0061
276,999.0,377.3,91.7796,91.7857,91.7076,0.0720,0.0781,0.0061
